ชื่อบริษัท,"Online/
Offline",จังหวัดที่จัด,ชื่อหลักสูตร,หัวข้อ,ระยะเวลาเรียน (จำนวนวัน),For Financial Related Company,For Factory,จำนวนผู้เรียน นักศึกษา,บุคคลในตลาดแรงงาน,จำนวนรวมทั้งหมด,จำนวนคนที่ห้องรองรับ,ห้องรองรับน้อยสุด,ห้องรองรับมากสุด,Batch 1 (รอบวันธรรมดา),Batch 2 (รอบวันหยุด),Batch 3 (รอบวันธรรมดา),Batch 4 เป็นต้นไป
บริษัท เคดีอาร์ โฮลดิ้ง (ประเทศไทย) จำกัด,,,,,,,,,,,,,,,,,
1. จุฬาลงกรณ์มหาวิทยาลัย,Online,Online,หลักสูตรการบริหารจัดการความมั่นคงปลอดภัยไซเบอร์แบบ Zero Trust ขั้นสูง (Master of Zero Trust Cybersecurity),ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,,x,400,1600,2000,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00",-,-
"2. มหาวิทยาลัยราชภัฏนครสวรรค์,
คณะวิทยาศาสตร์และเทคโนโลย",Onsite,นครสวรรค์,หลักสูตรการบริหารจัดการความมั่นคงปลอดภัยไซเบอร์แบบ Zero Trust ขั้นสูง (Master of Zero Trust Cybersecurity),ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,,x,60,240,300,50-300,50,300,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00",-,-,-
3. มหาวิทยาลัยแม่โจ้ เชียงใหม่,Online,Online,วิศวกรออกแบบผลิตภัณฑ์ดิจิทัลมืออาชีพ,การออกแบบผลิตภัณฑ์และธุรกิจ,7,x,x,80,320,400,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00",-,-,-
บริษัท เลิศ โปรเฟสชั่นนอล กรุ๊ป จำกัด,,,,,,,,,,0,,,,,,,
1. มหาวิทยาลัยเกษตรศาสตร์,Online,Online,การปฏิบัติการโรงงานอัจฉริยะด้วยปัญญาประดิษฐ์เชิงสร้างสรรค์,AI และวิทยาศาสตร์ข้อมูล,7,,x,400,1600,2000,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00",-,-
2. มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,Online,Online,หลักสูตรนักพัฒนาบล็อกเชนและสัญญาอัจฉริยะมืออาชีพ,การพัฒนาซอฟต์แวร์และเว็บ,7,x,,80,320,400,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00",-,-,-
"3. มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา
(มทร.ล้านนา)",Onsite,เชียงใหม่,หลักสูตรนักพัฒนาบล็อกเชนและสัญญาอัจฉริยะมืออาชีพ,การพัฒนาซอฟต์แวร์และเว็บ,7,x,,60,240,300,50-100,50,100,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 10 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 17 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 20 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 21 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 22 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 23 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 24 เม.ย. 69, 09:00-17:00",-
4. มหาวิทยาลัยราชภัฏนครสวรรค์,Online,Online,หลักสูตรวิศวกรเครือข่ายสมัยใหม่และโครงสร้างพื้นฐานในรูปแบบโค้ด,ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,x,x,400,1600,2000,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00",-,-
5. บริษัท ศูนย์ส่งเสริมความรู้เพื่อพัฒนาบุคล จำกัด,Onsite,ปทุมธานี,หลักสูตรวิศวกรเครือข่ายสมัยใหม่และโครงสร้างพื้นฐานในรูปแบบโค้ด,ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,x,x,60,240,300,20-50,20,50,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 10 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 17 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 20 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 21 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 22 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 23 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 24 เม.ย. 69, 09:00-17:00","Batch 4:ครั้งที่ 1 วันที่ 2 พ.ค. 69, 09:00-17:00ครั้งที่ 2 วันที่ 3 พ.ค. 69, 09:00-17:00ครั้งที่ 3 วันที่ 9 พ.ค. 69, 09:00-17:00ครั้งที่ 4 วันที่ 10 พ.ค. 69, 09:00-17:00ครั้งที่ 5 วันที่ 16 พ.ค. 69, 09:00-17:00ครั้งที่ 6 วันที่ 17 พ.ค. 69, 09:00-17:00ครั้งที่ 7 วันที่ 23 พ.ค. 69, 09:00-17:00Batch 5:ครั้งที่ 1 วันที่ 27 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 28 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 29 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 30 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 1 พ.ค. 69, 09:00-17:00ครั้งที่ 6 วันที่ 4 พ.ค. 69, 09:00-17:00ครั้งที่ 7 วันที่ 5 พ.ค. 69, 09:00-17:00Batch 6:ครั้งที่ 1 วันที่ 24 พ.ค. 69, 09:00-17:00ครั้งที่ 2 วันที่ 30 พ.ค. 69, 09:00-17:00ครั้งที่ 3 วันที่ 31 พ.ค. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 มิ.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 มิ.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 13 มิ.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 14 มิ.ย. 69, 09:00-17:00"
บริษัท แอร์เมดเอเจนซี จำกัด,,,,,,,,,,0,,,,,,,
1. สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ (สวทช.),Online,Online,การพัฒนาแชทบอทอัจฉรยะด้วย Dialogflow และ Python,การพัฒนาซอฟต์แวร์และเว็บ,7,x,x,400,1600,2000,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00",-,-
2. มหาวิทยาลัยราชภัฎวไลยอลงกรณ์,Online,Online,การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ระดับมืออาชีพด้วย Figma,การออกแบบผลิตภัณฑ์และธุรกิจ,7,x,x,400,1600,2000,1000,1000,1000,"ครั้งที่ 1 วันที่ 1 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 2 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 3 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 6 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 7 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 8 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 9 เม.ย. 69, 09:00-17:00","ครั้งที่ 1 วันที่ 4 เม.ย. 69, 09:00-17:00ครั้งที่ 2 วันที่ 5 เม.ย. 69, 09:00-17:00ครั้งที่ 3 วันที่ 11 เม.ย. 69, 09:00-17:00ครั้งที่ 4 วันที่ 18 เม.ย. 69, 09:00-17:00ครั้งที่ 5 วันที่ 19 เม.ย. 69, 09:00-17:00ครั้งที่ 6 วันที่ 25 เม.ย. 69, 09:00-17:00ครั้งที่ 7 วันที่ 26 เม.ย. 69, 09:00-17:00",-,-
3. บริษัท ฟาร์มาแฟค แพลน เทคโนโลยี จำกัด,Onsite,ปทุมธานี,การพัฒนาแชทบอทอัจฉรยะด้วย Dialogflow และ Python,การพัฒนาซอฟต์แวร์และเว็บ,7,x,x,60,240,300,50-70,50,70,,,,
4. มหาวิทยาลัยราชภัฏนครสวรรค์,Online,Online,วิศวกรรมความน่าเชื่อถือระบบฐานข้อมูลสมัยใหม่,ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,,,400,1600,2000,1000,1000,1000,,,,
5. บริษัท ศูนย์ส่งเสริมความรู้เพื่อพัฒนาบุคคล จำกัด,Onsite,ปทุมธานี,วิศวกรรมความน่าเชื่อถือระบบฐานข้อมูลสมัยใหม่,ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,,,60,240,300,20-50,20,50,,,,
6. มหาวทยาลัยราชภัฏสวนสุนันทา,Online,Online,วิศวกร DevSecOps ร่วมกับ Generative AI บูตแคมป์: การสร้างไปป์ไลน์ CI/CD ที่ปลอดภัยและโครงสร้างพื้นฐานแบบโค้ด,ความมั่นคงปลอดภัยและโครงสร้างพื้นฐาน,7,,,80,320,400,1000,1000,1000,,,,
 บริษัท ออฟ คอร์ส โซลูชันส์ จำกัด,,,,,,,,,,0,,,,,,,
1. มหาวิทยาลัยเกษตรศาสตร์,Onsite,กทม,การสร้างระบบท่อส่งข้อมูลอัจฉริยะ,AI และวิทยาศาสตร์ข้อมูล,7,x,,50,200,250,50-500,50,500,,,,
2. มหาวิทยาลัยราชภัฏธนบุรี,Onsite,กทม,การวิเคราะห์ข้อมูลเชิงปฎิบัติระดับเชี่ยวชาญ,AI และวิทยาศาสตร์ข้อมูล,7,x,,40,160,200,150-650,150,650,,,,
3. มหาวิทยาลัยราชภัฏนครสวรรค์,Online,Online,การเขียนโปรแกรมสำหรับนักการตลาดดิจิทัล,การพัฒนาซอฟต์แวร์และเว็บ,7,x,,400,1600,2000,1000,1000,1000,,,,
4. บริษัท เอเชนเทีย คอนซัลติ้ง จำกัด (เชียงใหม่),Onsite,เชียงใหม่,วิทยาศาสตร์ข้อมูลและการเรียนรู้ของเครื่องแบบครบวงจร,AI และวิทยาศาสตร์ข้อมูล,7,,x,50,200,250,20-50,20,50,,,,
บริษัท สยามซาอุดี โกลบอล บิสซิเนส เวนเชอร์ส จำกัด,,,,,,,,,,0,,,,,,,
1.มหาวิทยาลัยราชภัฏนครสวรรค์,Online,Online,"การพัฒนาซอฟต์แวร์แบคเอนด์ ด้วยภาษาจาวาและสปริงบูต
ระดับมืออาชีพ",การพัฒนาซอฟต์แวร์และเว็บ,7,x,x,480,"1,920","2,400",1000,1000,1000,,,,
2.สถาบันวิจัยจุฬาภรณ์,Online,Online,"การพัฒนาแอปพลิเคชันแอนดรอยด์สมัยใหม่ด้วย Jetpack
Compose",การพัฒนาซอฟต์แวร์และเว็บ,7,x,x,400,"1,600","2,000",1000,1000,1000,,,,
3.บริษัท ไดแด็คต้า เทค จำกัด,Onsite,กทม,"วิศกรรมการออกแบบระบบหุ่นยนต์อุตสาหกรรม: การโปรแกรม,
การออกแบบ และการจำลองสถานการณ์โลกเสมือน",วิศวกรรมเฉพาะทางและควบคุมคุณภาพ,7,,x,40,160,200,20-50,20,50,,,,
บริษัท เวสท์โคสท์ เอ็นจิเนียริ่ง จำกัด,,,,,,,,,,0,,,,,,,
1.สถาบันเทคโนโลยีพระจอมเกล้า เจ้าคุณทหารลาดกระบัง,Online,Online,หลักสูตรเส้นทางสู่การเป็นวิศวกรส่วนหน้าแบบครบวงจร จากศูนย์สู่ Next.js,การพัฒนาซอฟต์แวร์และเว็บ,7,x,x,400,"1,600","2,000",1000,1000,1000,,,,
บริษัท เวิลด์ แฟรนไชส์ เนทเวอร์ค จำกัด,,,,,,,,,,0,,,,,,,
1. สมาคมนิสิตเก่าจุฬาลงกรณ์มหาวิทยาลัย,Online,Online,1. การทดสอบระบบอัตโนมัติและวิศวกรรมคุณภาพซอฟต์แวร์ขั้นสูง,วิศวกรรมเฉพาะทางและควบคุมคุณภาพ,7,x,x,80,320,400,1000,1000,1000,,,,
"2.มหาวิทยาลัยราชภัฏนครสวรรค์,คณะ วิทยาศาสตร์และเทคโนโลยี",Onsite,นครสวรรค์,2. การทดสอบระบบอัตโนมัติและวิศวกรรมคุณภาพซอฟต์แวร์ขั้นสูง,วิศวกรรมเฉพาะทางและควบคุมคุณภาพ,7,x,x,60,240,300,50-300,50,300,,,,
3. มหาวิทยาลัยราชภัฏนครสวรรค์ ,Online,Online,3. เจนเนอเรทีป ai สำหรับการปฎิบัติการเทคโนโลยีสารสนเทศ,AI และวิทยาศาสตร์ข้อมูล,7,x,x,400,"1,600","2,000",1000,1000,1000,,,,
บริษัท ปันสวย จำกัด,,,,,,,,,,0,,,,,,,
